expected_note,root_hz,harmonic_index,theoretical_hz,theoretical_token,lower_hz_tolerance,upper_hz_tolerance,lower_token_tolerance,upper_token_tolerance
A.C-,987.7666025122483,6,5926.59961507349,11.7'-,5813.579879992596,6041.816526555403,11.7'a5,11.7'i5
A.C-,987.7666025122483,7,6914.366217585738,11.A'a5,6782.509859991362,7048.785947647969,11.9'i5,11.A'-
A.C-,987.7666025122483,8,7902.132820097986,11.C'-,7751.439839990127,8055.755368740536,11.C'a5,11.C'i5
A.C-,987.7666025122483,9,8889.899422610235,12.2'-,8720.369819988895,9062.724789833104,12.2'a5,12.2'i5
A.C-,987.7666025122483,10,9877.666025122482,12.4'a3,9689.299799987659,10069.694210925669,12.4'a7,12.4'i3
A.C-,987.7666025122483,11,10865.432627634731,12.6'a7,10658.229779986426,11076.663632018237,12.5'i3,12.6'a3
A.C-,987.7666025122483,12,11853.19923014698,12.7'-,11627.159759985192,12083.633053110805,12.7'a5,12.7'i5
B.1-,1046.5022612023945,1,1046.5022612023945,B.1'-,1026.5455548269827,1066.8469387959192,B.1'a5,B.1'i5
B.1-,1046.5022612023945,2,2093.004522404789,C.1'-,2053.0911096539653,2133.6938775918384,C.1'a5,C.1'i5
B.1-,1046.5022612023945,3,3139.5067836071835,C.8'-,3079.6366644809477,3200.5408163877573,C.8'a5,C.8'i5
B.1-,1046.5022612023945,4,4186.009044809578,11.1'-,4106.182219307931,4267.387755183677,11.1'a5,11.1'i5
B.1-,1046.5022612023945,5,5232.511306011973,11.5'a3,5132.7277741349135,5334.234693979596,11.5'a7,11.5'i3
B.1-,1046.5022612023945,6,6279.013567214367,11.8'-,6159.2733289618955,6401.081632775515,11.8'a5,11.8'i5
B.1-,1046.5022612023945,7,7325.515828416761,11.B'a5,7185.818883788877,7467.928571571433,11.A'i5,11.B'-
B.1-,1046.5022612023945,8,8372.018089619156,12.1'-,8212.364438615861,8534.775510367353,12.1'a5,12.1'i5
B.1-,1046.5022612023945,9,9418.52035082155,12.3'-,9238.909993442843,9601.622449163273,12.3'a5,12.3'i5
B.1-,1046.5022612023945,10,10465.022612023946,12.5'a3,10265.455548269827,10668.469387959192,12.5'a7,12.5'i3
B.1-,1046.5022612023945,11,11511.524873226339,12.7'a7,11292.001103096809,11735.31632675511,12.6'i3,12.7'a3
B.1-,1046.5022612023945,12,12558.027134428734,12.8'-,12318.546657923791,12802.16326555103,12.8'a5,12.8'i5
B.2-,1108.7305239074883,1,1108.7305239074883,B.2'-,1087.5871300177746,1130.2849589844661,B.2'a5,B.2'i5
B.2-,1108.7305239074883,2,2217.4610478149766,C.2'-,2175.174260035549,2260.5699179689323,C.2'a5,C.2'i5
B.2-,1108.7305239074883,3,3326.1915717224647,C.9'-,3262.7613900533233,3390.854876953398,C.9'a5,C.9'i5
B.2-,1108.7305239074883,4,4434.922095629953,11.2'-,4350.348520071098,4521.1398359378645,11.2'a5,11.2'i5
B.2-,1108.7305239074883,5,5543.652619537442,11.6'a3,5437.9356500888725,5651.424794922331,11.6'a7,11.6'i3
B.2-,1108.7305239074883,6,6652.383143444929,11.9'-,6525.522780106647,6781.709753906796,11.9'a5,11.9'i5
B.2-,1108.7305239074883,7,7761.113667352418,11.C'a5,7613.109910124422,7911.994712891263,11.B'i5,11.C'-
B.2-,1108.7305239074883,8,8869.844191259906,12.2'-,8700.697040142197,9042.279671875729,12.2'a5,12.2'i5
B.2-,1108.7305239074883,9,9978.574715167395,12.4'-,9788.284170159972,10172.564630860195,12.4'a5,12.4'i5
B.2-,1108.7305239074883,10,11087.305239074884,12.6'a3,10875.871300177745,11302.849589844662,12.6'a7,12.6'i3
B.2-,1108.7305239074883,11,12196.035762982372,12.8'a7,11963.45843019552,12433.134548829128,12.7'i3,12.8'a3
B.2-,1108.7305239074883,12,13304.766286889859,12.9'-,13051.045560213293,13563.419507813593,12.9'a5,12.9'i5
B.3-,1174.6590716696303,1,1174.6590716696303,B.3'-,1152.2584261539766,1197.4952001534518,B.3'a5,B.3'i5
B.3-,1174.6590716696303,2,2349.3181433392606,C.3'-,2304.5168523079533,2394.9904003069037,C.3'a5,C.3'i5
B.3-,1174.6590716696303,3,3523.977215008891,C.A'-,3456.7752784619306,3592.4856004603557,C.A'a5,C.A'i5
B.3-,1174.6590716696303,4,4698.636286678521,11.3'-,4609.033704615907,4789.980800613807,11.3'a5,11.3'i5
B.3-,1174.6590716696303,5,5873.295358348151,11.7'a3,5761.292130769883,5987.4760007672585,11.7'a7,11.7'i3
